team1,team2,venue,toss_winner,toss_decision,winner
Delhi Capitals,Mumbai Indians,Rajiv Gandhi Intl. Stadium,Mumbai Indians,bat,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,HPCA Stadium,Chennai Super Kings,field,Chennai Super Kings
Punjab Kings,Royal Challengers Bangalore,Wankhede Stadium,Punjab Kings,bat,Royal Challengers Bangalore
Mumbai Indians,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,field,Mumbai Indians
Lucknow Super Giants,Rajasthan Royals,Wankhede Stadium,Lucknow Super Giants,field,Rajasthan Royals
Rajasthan Royals,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Punjab Kings,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,bat,Punjab Kings
Punjab Kings,Mumbai Indians,Ekana Cricket Stadium,Mumbai Indians,bat,Punjab Kings
Royal Challengers Bangalore,Delhi Capitals,M. A. Chidambaram Stadium,Royal Challengers Bangalore,field,Delhi Capitals
Punjab Kings,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,bat,Punjab Kings
Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,HPCA Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Punjab Kings,Gujarat Titans,HPCA Stadium,Gujarat Titans,field,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,HPCA Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders
Mumbai Indians,Royal Challengers Bangalore,HPCA Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,Delhi Capitals,bat,Rajasthan Royals
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Royal Challengers Bangalore,Mumbai Indians,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,bat,Mumbai Indians
Rajasthan Royals,Kolkata Knight Riders,HPCA Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Gujarat Titans,Lucknow Super Giants,Ekana Cricket Stadium,Gujarat Titans,field,Gujarat Titans
Royal Challengers Bangalore,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,field,Chennai Super Kings
Royal Challengers Bangalore,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Royal Challengers Bangalore
Kolkata Knight Riders,Punjab Kings,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Gujarat Titans,Rajasthan Royals,Eden Gardens,Gujarat Titans,field,Gujarat Titans
Lucknow Super Giants,Kolkata Knight Riders,Ekana Cricket Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Royal Challengers Bangalore,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,bat,Chennai Super Kings
Lucknow Super Giants,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Lucknow Super Giants
Royal Challengers Bangalore,Punjab Kings,M. A. Chidambaram Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Gujarat Titans,Kolkata Knight Riders,HPCA Stadium,Gujarat Titans,bat,Gujarat Titans
Gujarat Titans,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,Eden Gardens,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Lucknow Super Giants,HPCA Stadium,Lucknow Super Giants,bat,Royal Challengers Bangalore
Gujarat Titans,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Delhi Capitals,field,Gujarat Titans
Rajasthan Royals,Gujarat Titans,M. A. Chidambaram Stadium,Rajasthan Royals,bat,Rajasthan Royals
Sunrisers Hyderabad,Delhi Capitals,Ekana Cricket Stadium,Sunrisers Hyderabad,field,Delhi Capitals
Chennai Super Kings,Punjab Kings,Eden Gardens,Punjab Kings,field,Chennai Super Kings
Delhi Capitals,Kolkata Knight Riders,HPCA Stadium,Kolkata Knight Riders,field,Delhi Capitals
Kolkata Knight Riders,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Punjab Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Punjab Kings
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Delhi Capitals,Chennai Super Kings,HPCA Stadium,Chennai Super Kings,bat,Chennai Super Kings
Gujarat Titans,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,bat,Punjab Kings
Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,Royal Challengers Bangalore,field,Delhi Capitals
Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Kolkata Knight Riders,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Royal Challengers Bangalore
Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore
Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,Lucknow Super Giants,field,Chennai Super Kings
Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Gujarat Titans,bat,Lucknow Super Giants
Rajasthan Royals,Delhi Capitals,Narendra Modi Stadium,Rajasthan Royals,field,Delhi Capitals
Sunrisers Hyderabad,Rajasthan Royals,Eden Gardens,Sunrisers Hyderabad,field,Rajasthan Royals
Chennai Super Kings,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,bat,Rajasthan Royals
Lucknow Super Giants,Kolkata Knight Riders,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Royal Challengers Bangalore,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Punjab Kings
Sunrisers Hyderabad,Chennai Super Kings,Ekana Cricket Stadium,Chennai Super Kings,field,Chennai Super Kings
Mumbai Indians,Kolkata Knight Riders,M. A. Chidambaram Stadium,Mumbai Indians,field,Kolkata Knight Riders
Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Lucknow Super Giants,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Sunrisers Hyderabad,Mumbai Indians,M. A. Chidambaram Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Royal Challengers Bangalore,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Chennai Super Kings
Gujarat Titans,Punjab Kings,M. A. Chidambaram Stadium,Punjab Kings,field,Punjab Kings
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,Gujarat Titans,field,Gujarat Titans
Kolkata Knight Riders,Rajasthan Royals,HPCA Stadium,Rajasthan Royals,bat,Rajasthan Royals
Lucknow Super Giants,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Lucknow Super Giants
Mumbai Indians,Lucknow Super Giants,Sawai Mansingh Stadium,Lucknow Super Giants,bat,Mumbai Indians
Delhi Capitals,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,bat,Delhi Capitals
Kolkata Knight Riders,Delhi Capitals,HPCA Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Punjab Kings,bat,Rajasthan Royals
Punjab Kings,Chennai Super Kings,Narendra Modi Stadium,Chennai Super Kings,field,Chennai Super Kings
Lucknow Super Giants,Sunrisers Hyderabad,Ekana Cricket Stadium,Lucknow Super Giants,field,Sunrisers Hyderabad
Kolkata Knight Riders,Gujarat Titans,Narendra Modi Stadium,Gujarat Titans,bat,Gujarat Titans
Kolkata Knight Riders,Mumbai Indians,Narendra Modi Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Punjab Kings,Sunrisers Hyderabad,Wankhede Stadium,Punjab Kings,field,Sunrisers Hyderabad
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,Mumbai Indians,bat,Royal Challengers Bangalore
Kolkata Knight Riders,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,bat,Kolkata Knight Riders
Punjab Kings,Mumbai Indians,HPCA Stadium,Mumbai Indians,bat,Mumbai Indians
Punjab Kings,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Punjab Kings,Delhi Capitals,Narendra Modi Stadium,Delhi Capitals,bat,Punjab Kings
Rajasthan Royals,Delhi Capitals,M. A. Chidambaram Stadium,Delhi Capitals,bat,Rajasthan Royals
Lucknow Super Giants,Rajasthan Royals,Narendra Modi Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Lucknow Super Giants,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,field,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,Kolkata Knight Riders,field,Rajasthan Royals
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Delhi Capitals
Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Sunrisers Hyderabad,field,Chennai Super Kings
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,Rajasthan Royals,bat,Rajasthan Royals
Delhi Capitals,Lucknow Super Giants,Arun Jaitley Stadium,Delhi Capitals,field,Delhi Capitals
Kolkata Knight Riders,Rajasthan Royals,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,Rajasthan Royals
Lucknow Super Giants,Gujarat Titans,HPCA Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Punjab Kings,Lucknow Super Giants,Wankhede Stadium,Punjab Kings,bat,Punjab Kings
Sunrisers Hyderabad,Kolkata Knight Riders,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Chennai Super Kings,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings
Kolkata Knight Riders,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Kolkata Knight Riders
Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,Gujarat Titans,field,Kolkata Knight Riders
Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians
Lucknow Super Giants,Punjab Kings,Arun Jaitley Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Lucknow Super Giants,Punjab Kings,Ekana Cricket Stadium,Punjab Kings,bat,Lucknow Super Giants
Sunrisers Hyderabad,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,field,Chennai Super Kings
Lucknow Super Giants,Punjab Kings,Narendra Modi Stadium,Punjab Kings,bat,Punjab Kings
Chennai Super Kings,Lucknow Super Giants,Sawai Mansingh Stadium,Chennai Super Kings,field,Lucknow Super Giants
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi Intl. Stadium,Sunrisers Hyderabad,field,Chennai Super Kings
Lucknow Super Giants,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,field,Lucknow Super Giants
Mumbai Indians,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,field,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Wankhede Stadium,Chennai Super Kings,field,Kolkata Knight Riders
Chennai Super Kings,Lucknow Super Giants,Narendra Modi Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Mumbai Indians,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings
Lucknow Super Giants,Gujarat Titans,Rajiv Gandhi Intl. Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Gujarat Titans,Lucknow Super Giants,Arun Jaitley Stadium,Gujarat Titans,field,Gujarat Titans
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi Intl. Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Rajasthan Royals,Kolkata Knight Riders,Arun Jaitley Stadium,Rajasthan Royals,bat,Kolkata Knight Riders
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,Kolkata Knight Riders,bat,Punjab Kings
Kolkata Knight Riders,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Chennai Super Kings,Delhi Capitals,Arun Jaitley Stadium,Delhi Capitals,field,Chennai Super Kings
Punjab Kings,Delhi Capitals,M. Chinnaswamy Stadium,Punjab Kings,bat,Punjab Kings
Sunrisers Hyderabad,Lucknow Super Giants,HPCA Stadium,Lucknow Super Giants,bat,Sunrisers Hyderabad
Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Sunrisers Hyderabad
Punjab Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Punjab Kings,bat,Sunrisers Hyderabad
Delhi Capitals,Mumbai Indians,M. Chinnaswamy Stadium,Delhi Capitals,field,Mumbai Indians
Punjab Kings,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,Punjab Kings
Punjab Kings,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Punjab Kings,bat,Punjab Kings
Sunrisers Hyderabad,Gujarat Titans,Narendra Modi Stadium,Sunrisers Hyderabad,bat,Gujarat Titans
Kolkata Knight Riders,Lucknow Super Giants,Arun Jaitley Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Lucknow Super Giants,Mumbai Indians,Eden Gardens,Lucknow Super Giants,field,Lucknow Super Giants
Kolkata Knight Riders,Gujarat Titans,Arun Jaitley Stadium,Gujarat Titans,field,Kolkata Knight Riders
Sunrisers Hyderabad,Lucknow Super Giants,HPCA Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Delhi Capitals,Rajasthan Royals,HPCA Stadium,Delhi Capitals,bat,Delhi Capitals
Chennai Super Kings,Lucknow Super Giants,Ekana Cricket Stadium,Chennai Super Kings,field,Lucknow Super Giants
Sunrisers Hyderabad,Kolkata Knight Riders,Ekana Cricket Stadium,Sunrisers Hyderabad,field,Kolkata Knight Riders
Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,Mumbai Indians,bat,Mumbai Indians
Punjab Kings,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,field,Punjab Kings
Gujarat Titans,Lucknow Super Giants,HPCA Stadium,Gujarat Titans,bat,Gujarat Titans
Mumbai Indians,Sunrisers Hyderabad,HPCA Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Royal Challengers Bangalore,Kolkata Knight Riders,Wankhede Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Lucknow Super Giants,Chennai Super Kings,HPCA Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Rajasthan Royals,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Rajasthan Royals
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,Royal Challengers Bangalore,bat,Punjab Kings
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,Rajasthan Royals,bat,Chennai Super Kings
Lucknow Super Giants,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Lucknow Super Giants
Sunrisers Hyderabad,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Capitals,Kolkata Knight Riders,Sawai Mansingh Stadium,Delhi Capitals,field,Kolkata Knight Riders
Sunrisers Hyderabad,Chennai Super Kings,Ekana Cricket Stadium,Sunrisers Hyderabad,field,Chennai Super Kings
Kolkata Knight Riders,Lucknow Super Giants,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,Lucknow Super Giants
Delhi Capitals,Gujarat Titans,Sawai Mansingh Stadium,Delhi Capitals,bat,Delhi Capitals
Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Sunrisers Hyderabad,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Punjab Kings
Kolkata Knight Riders,Delhi Capitals,M. A. Chidambaram Stadium,Delhi Capitals,field,Kolkata Knight Riders
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,field,Delhi Capitals
Rajasthan Royals,Chennai Super Kings,Narendra Modi Stadium,Rajasthan Royals,bat,Rajasthan Royals
Gujarat Titans,Sunrisers Hyderabad,Sawai Mansingh Stadium,Gujarat Titans,field,Gujarat Titans
Kolkata Knight Riders,Lucknow Super Giants,Wankhede Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Gujarat Titans,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Gujarat Titans,bat,Delhi Capitals
Sunrisers Hyderabad,Gujarat Titans,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Punjab Kings,Chennai Super Kings,Ekana Cricket Stadium,Punjab Kings,field,Punjab Kings
Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders
Chennai Super Kings,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,field,Punjab Kings
Delhi Capitals,Punjab Kings,Rajiv Gandhi Intl. Stadium,Delhi Capitals,field,Delhi Capitals
Royal Challengers Bangalore,Chennai Super Kings,Narendra Modi Stadium,Chennai Super Kings,bat,Royal Challengers Bangalore
Lucknow Super Giants,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Capitals,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,bat,Delhi Capitals
Sunrisers Hyderabad,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Mumbai Indians
Royal Challengers Bangalore,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Chennai Super Kings,Gujarat Titans,M. Chinnaswamy Stadium,Chennai Super Kings,field,Chennai Super Kings
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Mumbai Indians,Gujarat Titans,Narendra Modi Stadium,Mumbai Indians,field,Gujarat Titans
Royal Challengers Bangalore,Delhi Capitals,Wankhede Stadium,Royal Challengers Bangalore,field,Delhi Capitals
Mumbai Indians,Lucknow Super Giants,Eden Gardens,Lucknow Super Giants,field,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,bat,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Rajasthan Royals,Royal Challengers Bangalore,HPCA Stadium,Royal Challengers Bangalore,bat,Rajasthan Royals
Delhi Capitals,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,Delhi Capitals
Delhi Capitals,Lucknow Super Giants,Sawai Mansingh Stadium,Delhi Capitals,field,Lucknow Super Giants
Lucknow Super Giants,Delhi Capitals,Ekana Cricket Stadium,Delhi Capitals,field,Delhi Capitals
Delhi Capitals,Punjab Kings,Rajiv Gandhi Intl. Stadium,Delhi Capitals,bat,Delhi Capitals
Rajasthan Royals,Lucknow Super Giants,Narendra Modi Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Punjab Kings,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,field,Punjab Kings
Royal Challengers Bangalore,Gujarat Titans,Narendra Modi Stadium,Royal Challengers Bangalore,field,Gujarat Titans
Gujarat Titans,Chennai Super Kings,Narendra Modi Stadium,Gujarat Titans,bat,Gujarat Titans
Mumbai Indians,Rajasthan Royals,Narendra Modi Stadium,Mumbai Indians,bat,Rajasthan Royals
Gujarat Titans,Punjab Kings,HPCA Stadium,Punjab Kings,field,Punjab Kings
Chennai Super Kings,Mumbai Indians,Eden Gardens,Chennai Super Kings,bat,Mumbai Indians
Chennai Super Kings,Delhi Capitals,Narendra Modi Stadium,Delhi Capitals,field,Delhi Capitals
Lucknow Super Giants,Sunrisers Hyderabad,Ekana Cricket Stadium,Lucknow Super Giants,bat,Sunrisers Hyderabad
Kolkata Knight Riders,Sunrisers Hyderabad,HPCA Stadium,Kolkata Knight Riders,bat,Sunrisers Hyderabad
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians
Rajasthan Royals,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Rajasthan Royals
Mumbai Indians,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings
Gujarat Titans,Kolkata Knight Riders,Arun Jaitley Stadium,Gujarat Titans,bat,Gujarat Titans
Sunrisers Hyderabad,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,Kolkata Knight Riders
Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Capitals,bat,Rajasthan Royals
Lucknow Super Giants,Delhi Capitals,Wankhede Stadium,Lucknow Super Giants,bat,Delhi Capitals
Mumbai Indians,Punjab Kings,Ekana Cricket Stadium,Punjab Kings,field,Mumbai Indians
Lucknow Super Giants,Punjab Kings,M. A. Chidambaram Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Kolkata Knight Riders,Lucknow Super Giants,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,Narendra Modi Stadium,Chennai Super Kings,field,Lucknow Super Giants
Delhi Capitals,Rajasthan Royals,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Delhi Capitals
Royal Challengers Bangalore,Mumbai Indians,Sawai Mansingh Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Gujarat Titans,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,Gujarat Titans
Lucknow Super Giants,Rajasthan Royals,Eden Gardens,Lucknow Super Giants,bat,Lucknow Super Giants
Royal Challengers Bangalore,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Royal Challengers Bangalore
Punjab Kings,Lucknow Super Giants,Arun Jaitley Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Chennai Super Kings,Lucknow Super Giants,Ekana Cricket Stadium,Chennai Super Kings,bat,Chennai Super Kings
Lucknow Super Giants,Rajasthan Royals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Lucknow Super Giants
Lucknow Super Giants,Gujarat Titans,M. A. Chidambaram Stadium,Gujarat Titans,field,Gujarat Titans
Royal Challengers Bangalore,Mumbai Indians,HPCA Stadium,Mumbai Indians,bat,Royal Challengers Bangalore
Punjab Kings,Rajasthan Royals,Arun Jaitley Stadium,Punjab Kings,field,Punjab Kings
Mumbai Indians,Lucknow Super Giants,HPCA Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Sunrisers Hyderabad,Royal Challengers Bangalore,Narendra Modi Stadium,Royal Challengers Bangalore,bat,Sunrisers Hyderabad
Mumbai Indians,Sunrisers Hyderabad,Narendra Modi Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Rajasthan Royals,Delhi Capitals,M. Chinnaswamy Stadium,Rajasthan Royals,bat,Delhi Capitals
Lucknow Super Giants,Kolkata Knight Riders,Sawai Mansingh Stadium,Lucknow Super Giants,bat,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,HPCA Stadium,Rajasthan Royals,bat,Chennai Super Kings
Gujarat Titans,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Royal Challengers Bangalore,field,Gujarat Titans
Kolkata Knight Riders,Sunrisers Hyderabad,Arun Jaitley Stadium,Kolkata Knight Riders,bat,Sunrisers Hyderabad
Mumbai Indians,Delhi Capitals,Narendra Modi Stadium,Delhi Capitals,field,Mumbai Indians
Lucknow Super Giants,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
Rajasthan Royals,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Delhi Capitals,bat,Sunrisers Hyderabad
Lucknow Super Giants,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,field,Lucknow Super Giants
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,Rajasthan Royals,bat,Royal Challengers Bangalore
Lucknow Super Giants,Mumbai Indians,HPCA Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Punjab Kings,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,field,Punjab Kings
Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Mumbai Indians,field,Mumbai Indians
Sunrisers Hyderabad,Rajasthan Royals,Eden Gardens,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Kolkata Knight Riders,Royal Challengers Bangalore,Rajiv Gandhi Intl. Stadium,Royal Challengers Bangalore,bat,Kolkata Knight Riders
Lucknow Super Giants,Chennai Super Kings,Ekana Cricket Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Rajasthan Royals,Chennai Super Kings,Rajiv Gandhi Intl. Stadium,Rajasthan Royals,field,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Lucknow Super Giants
Royal Challengers Bangalore,Gujarat Titans,HPCA Stadium,Gujarat Titans,field,Gujarat Titans
Gujarat Titans,Kolkata Knight Riders,Arun Jaitley Stadium,Gujarat Titans,field,Kolkata Knight Riders
Chennai Super Kings,Royal Challengers Bangalore,Ekana Cricket Stadium,Chennai Super Kings,bat,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,Rajiv Gandhi Intl. Stadium,Kolkata Knight Riders,bat,Chennai Super Kings
Sunrisers Hyderabad,Delhi Capitals,Narendra Modi Stadium,Delhi Capitals,bat,Sunrisers Hyderabad
Delhi Capitals,Punjab Kings,Narendra Modi Stadium,Punjab Kings,bat,Punjab Kings
Mumbai Indians,Delhi Capitals,M. Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians
Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals
Rajasthan Royals,Punjab Kings,M. Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals
Mumbai Indians,Gujarat Titans,M. Chinnaswamy Stadium,Mumbai Indians,field,Gujarat Titans
Royal Challengers Bangalore,Mumbai Indians,M. A. Chidambaram Stadium,Mumbai Indians,bat,Mumbai Indians
Sunrisers Hyderabad,Mumbai Indians,Arun Jaitley Stadium,Sunrisers Hyderabad,bat,Mumbai Indians
Sunrisers Hyderabad,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Lucknow Super Giants,Delhi Capitals,Narendra Modi Stadium,Lucknow Super Giants,field,Delhi Capitals
Delhi Capitals,Gujarat Titans,HPCA Stadium,Delhi Capitals,field,Gujarat Titans
